Fecha - Hora, Cuenta, Contenido, Imagen
6:27 PM - 10 Jul 2019,Secretaría Cultura,"#Entérate 

Bajo los principios de inclusión, no discriminación y transformación social, participamos en la #FeriaMandela  que se realiza durante tres días en la Biblioteca de México (@BiblioMexCddela).

Detalles  https://bit.ly/2NJUsf3 ",https://pbs.twimg.com/media/D_J8BufUEAAi2Hl.jpg
4:02 PM - 10 Jul 2019,Secretaría Cultura,"#Convocatorias 

¡Atención diseñadores, arquitectos, curadores, museógrafos y artistas!

Sigue abierta la convocatoria al concurso para el diseño del Pabellón de Lenguas Indígenas para las Ferias Internacionales de #Oaxaca y #Guadalajara. 

Detalles https://bit.ly/2WPTayw ",https://pbs.twimg.com/media/D_JQrvfX4AA_TP6.jpg
2:40 PM - 10 Jul 2019,Secretaría Cultura,"Desde la Secretaría de Cultura, lamentamos el sensible fallecimiento del cronista Armando Ramírez, autor –entre otras obras– de «Chin Chin, el teporocho» y «La tepiteada».

Fue fundador del colectivo Tepito Arte Acá y un eterno enamorado de la #CiudadDeMéxico y sus barrios.

QEPD",https://pbs.twimg.com/media/D_JR6oVUIAAGVRr.jpg
12:02 PM - 10 Jul 2019,Secretaría Cultura,"Otello, la trágica ópera de cuatro actos, con música de Giuseppe Verdi, libreto de Arrigo Boito y basada en una obra de Shakespeare, se presenta en el @PalacioOficial. 

La música está a cargo de la Orquesta y Coro del Teatro de Bellas Artes.  https://bit.ly/32jZouo ",https://pbs.twimg.com/media/D_Iko_kWsAA2DZv.jpg
11:35 AM - 10 Jul 2019,Secretaría Cultura,"#ArteMexicano 

Las pinturas de Saturnino Herrán (1887-1918) tienen una ambientación paisajística, rural o urbana y sus protagonistas son personajes indígenas, mestizos o criollos, elementos que ponen en marcha una iconografía nacionalista.

La criolla del rebozo (1916)",https://pbs.twimg.com/media/D_DNR1AWkAA1TQi.jpg
11:04 AM - 10 Jul 2019,Secretaría Cultura,"#Convocatorias 
 
¡Aún estás a tiempo de inscribirte en la convocatoria de Becas al Extranjero Conacyt-FONCA 2019!

Tienes hasta el 12 de julio para postularte si estudias artes visuales, arquitectura, diseño, medios audiovisuales y música.
 
Detalles  https://bit.ly/2WKx4T5 ",https://pbs.twimg.com/media/D_Ib3d1WkAEw1lX.jpg
10:40 AM - 10 Jul 2019,Secretaría Cultura,"#ArteMexicano 

A través de su obra, Saturnino Herrán (1887-1918) retrató las tradiciones y formas de vida de poblaciones que no eran miradas por otros pintores de la época.

Joven con calabaza (1917)",https://pbs.twimg.com/media/D_DM-HQXYAA5i6u.jpg
10:08 AM - 10 Jul 2019,Secretaría Cultura,"#Entérate 

Últimos días para inscribirse a la Escuela de Música del Estado de #Tlaxcala (EMET) del Centro de las Artes. 

La institución mantiene abierta su convocatoria para el ingreso al ciclo 2019-2020. 

Detalles  https://bit.ly/32iTkTa ",https://pbs.twimg.com/media/D_ITc9ZWsAA9UE2.jpg
9:39 AM - 10 Jul 2019,Secretaría Cultura,"#ArteMexicano 

El tema recurrente en las obras de Saturnino Herrán (1887-1918) son las costumbres cotidianas del pueblo de México, por lo que se le considera un costumbrista.

La ofrenda (1908)",https://pbs.twimg.com/media/D_DLn-ZWsAAa177.jpg
8:12 AM - 10 Jul 2019,Secretaría Cultura,"#PensarGénero 

Una vez en la Ciudad de México, Gutiérrez continuó con la publicación de Vésper, no sin enfrentarse a la censura, persecución y encarcelamiento.

El periódico dejó de imprimirse en 1911, aunque tuvo una breve y efímera etapa de resurgimiento en 1932.",https://pbs.twimg.com/media/D_Dr_s_XUAIE1Li.jpg
8:12 AM - 10 Jul 2019,Secretaría Cultura,"#PensarGénero 

El semanario Vésper se publicó originalmente en #Guanajuato, pero debido a los temas que tocaba y la crítica que realizaba contra la Iglesia y el porfiriato, pronto sus realizadoras fueron denunciadas, su prensa fue decomisada y tuvieron que escapar del estado.",https://pbs.twimg.com/media/D_DsjTAWwAASnFx.jpg
8:12 AM - 10 Jul 2019,Secretaría Cultura,"#PensarGénero 

Vésper fue fundado por Juana Belén Gutiérrez, una periodista que luchaba por los derechos de las mujeres y los derechos laborales de los mineros.

Gutiérrez trabajó en periódicos como El Desmonte, Diario del Hogar, El hijo del Ahuizote, La Reforma, entre otros.",https://pbs.twimg.com/media/D_DrbiSWsAEd4Fm.jpg
8:12 AM - 10 Jul 2019,Secretaría Cultura,"#PensarGénero 
  
¿Sabías que las mujeres tuvieron una fuerte e importante participación en la prensa durante el porfiriato?

Un ejemplo de ello es Vésper, semanario femenil de oposición que bajo el lema ""Justicia y libertad"" se centraba en atacar al régimen de Porfirio Díaz.",https://pbs.twimg.com/media/D_Drr7uWsAAQEBa.jpg
7:09 AM - 10 Jul 2019,Secretaría Cultura,"#Entérate 

Artistas interdisciplinarios de ocho estados del país comparten metodologías y experiencias de trabajo alrededor de la tradición y la cultura oral en el proyecto Tiempo de juglar. 

Detalles  https://bit.ly/2YKaua0 ",https://pbs.twimg.com/media/D_HmVDJUIAAYYAh.jpg
6:28 AM - 10 Jul 2019,Secretaría Cultura,"#Entérate  @Fonart_mx y Fomento Cultural Banamex lanzan convocatorias de Arte Popular 2019: XLIV Concurso Gran Premio Nacional de Arte Popular, VI Concurso Nacional Grandes Maestros del Patrimonio Artesanal y XXIII Concurso Nacional de Nacimientos.  https://bit.ly/2JqXGAf ",https://pbs.twimg.com/media/D2BzxfgWoAIAn4f.jpg
8:20 PM - 9 Jul 2019,Secretaría Cultura,"Saturnino Herrán nació #UnDíaComoHoy de 1887.

¿Conoces su obra? ¡Disfrútala en el @MUNALmx!",https://pbs.twimg.com/media/D_FRMjUUEAEleD_.jpg
7:53 PM - 9 Jul 2019,Secretaría Cultura,"#Entérate 

Firman @SEDATU_mx y Secretaría de Cultura convenio de colaboración para proteger patrimonio cultural de México.

Detalles  https://bit.ly/2JAA0bh ",https://pbs.twimg.com/media/D_FPHy4UwAA-wo9.jpg
7:10 PM - 9 Jul 2019,Secretaría Cultura,"#HomenajeNacional
Miguel León-Portilla

Asimismo el «Huapango” de José Pablo Moncayo (#Jalisco, 1912) –por su popularidad y gran arraigo– ha sido llamado nuestro segundo himno nacional.

Disfruta del concierto completo en @YouTubeMexico 

 https://youtu.be/VfBMt8I9zKg?t=533 …",https://pbs.twimg.com/media/D_FE19jUwAAFBH7.jpg
